2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   orange      : 0 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   cat         : 10 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   dog         : 10 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   bottle      : 45 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   phone       : 0 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   keyboard    : 0 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   laptop      : 1 images
2026-03-11 20:01:57 | DEBUG    | camera:67 | Camera released.
2026-03-11 20:02:53 | INFO     | utils:52 | Using CPU.
2026-03-11 20:02:53 | INFO     | dataset_loader:134 |   human       : 27 images ✓
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'apple' has only 0 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'banana' has only 0 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'orange' has only 0 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'cat' has only 10 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'dog' has only 10 images (min=20).
2026-03-11 20:02:53 | INFO     | dataset_loader:134 |   bottle      : 45 images ✓
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'phone' has only 0 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'keyboard' has only 0 images (min=20).
2026-03-11 20:02:53 | WARNING  | dataset_loader:130 | Class 'laptop' has only 1 images (min=20).
2026-03-11 20:05:50 | INFO     | camera:41 | Opening camera index=0 @ 1280×720 30fps
2026-03-11 20:05:50 | INFO     | camera:59 | Camera opened: 1280×720 @ 30fps
2026-03-11 20:05:50 | INFO     | dataset_capture:67 | Existing image counts: human=27, apple=0, banana=0, orange=0, cat=10, dog=10, bottle=45, phone=0, keyboard=0, laptop=1
2026-03-11 20:05:50 | INFO     | dataset_capture:147 | Dataset capture started. Press S to capture, C to change class, Q to quit.
2026-03-11 20:05:56 | INFO     | dataset_capture:74 | Loading pretrained YOLOv8n for auto-labelling …
2026-03-11 20:05:56 | SUCCESS  | dataset_capture:76 | Auto-label model loaded.
2026-03-11 20:05:57 | SUCCESS  | dataset_capture:94 | Saved [orange] → orange_00001.jpg
2026-03-11 20:06:15 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00011.jpg
2026-03-11 20:06:18 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00001.jpg
2026-03-11 20:06:19 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00002.jpg
2026-03-11 20:06:19 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00003.jpg
2026-03-11 20:06:19 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00004.jpg
2026-03-11 20:06:19 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00005.jpg
2026-03-11 20:06:20 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00006.jpg
2026-03-11 20:06:20 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00007.jpg
2026-03-11 20:06:20 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00008.jpg
2026-03-11 20:06:20 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00009.jpg
2026-03-11 20:06:20 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00010.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00011.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00012.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00013.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00014.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00015.jpg
2026-03-11 20:06:21 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00016.jpg
2026-03-11 20:06:22 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00017.jpg
2026-03-11 20:06:22 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00018.jpg
2026-03-11 20:06:22 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00019.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [laptop] → laptop_00002.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00020.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00021.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [laptop] → laptop_00003.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00022.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [laptop] → laptop_00004.jpg
2026-03-11 20:06:23 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00023.jpg
2026-03-11 20:06:24 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00024.jpg
2026-03-11 20:06:24 | SUCCESS  | dataset_capture:94 | Saved [keyboard] → keyboard_00025.jpg
2026-03-11 20:06:34 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00011.jpg
2026-03-11 20:06:35 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00012.jpg
2026-03-11 20:06:36 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00013.jpg
2026-03-11 20:06:36 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00012.jpg
2026-03-11 20:06:36 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00013.jpg
2026-03-11 20:06:37 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00014.jpg
2026-03-11 20:06:37 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00014.jpg
2026-03-11 20:06:37 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00015.jpg
2026-03-11 20:06:52 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00046.jpg
2026-03-11 20:06:55 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00016.jpg
2026-03-11 20:06:55 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00017.jpg
2026-03-11 20:06:55 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00018.jpg
2026-03-11 20:06:55 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00019.jpg
2026-03-11 20:06:56 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00020.jpg
2026-03-11 20:06:56 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00021.jpg
2026-03-11 20:07:00 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00047.jpg
2026-03-11 20:07:01 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00048.jpg
2026-03-11 20:07:01 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00049.jpg
2026-03-11 20:07:01 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00050.jpg
2026-03-11 20:07:01 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00051.jpg
2026-03-11 20:07:02 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00052.jpg
2026-03-11 20:07:02 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00053.jpg
2026-03-11 20:07:19 | INFO     | dataset_capture:195 | Capture session complete — 145 total images.
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   human       : 27 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   apple       : 0 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   banana      : 0 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   orange      : 1 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   cat         : 21 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   dog         : 14 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   bottle      : 53 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   phone       : 0 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   keyboard    : 25 images
2026-03-11 20:07:19 | INFO     | dataset_capture:197 |   laptop      : 4 images
2026-03-11 20:07:19 | DEBUG    | camera:67 | Camera released.
